design,epoch,train_loss,train_acc,val_acc,test_acc
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",0,1.041426196694374,0.6784317060724613,0.7011308562197092,0.6713976425306711
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",1,0.995833360630533,0.7091767307365198,0.722940226171244,0.7017079624729372
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",2,0.9852184944826624,0.7137693485286614,0.7253634894991923,0.7082030310319942
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",3,0.9811454538417899,0.7231246810682089,0.7382875605815832,0.7240798652874669
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",4,0.9765420458886934,0.7228695356353121,0.7318255250403877,0.7183064710127496
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",5,0.9710726673188417,0.72486817485967,0.7294022617124394,0.7216742843396681
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",6,0.9641275716864545,0.7337557407722402,0.7479806138933764,0.7320182824152033
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",7,0.9605159344880477,0.7418778703861201,0.7504038772213247,0.7423622804907385
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",8,0.9593626928070317,0.7437064126552134,0.7479806138933764,0.7426028385855185
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",9,0.9590472008870996,0.7461728185065487,0.7544426494345718,0.7452489776280972
